ts,strategy,cash,position_cost,realized_pnl,equity
2026-06-10T08:00:06Z,calibration_overlay,1000.0,0.0,0.0,1000.0
2026-06-10T08:00:06Z,climatology,738.5999999999997,261.4,0.0,999.9999999999997
2026-06-10T08:00:06Z,ensemble_divergence,756.2299999999998,243.77,0.0,999.9999999999998
2026-06-10T08:00:06Z,event_arbitrage,1000.0,0.0,0.0,1000.0
2026-06-10T08:00:06Z,intraday_nowcast,1000.0,0.0,0.0,1000.0
2026-06-10T08:00:06Z,longshot_fade,784.2199999999997,215.78,0.0,999.9999999999997
2026-06-10T11:00:05Z,calibration_overlay,1000.0,0.0,0.0,1000.0
2026-06-10T11:00:05Z,climatology,738.5999999999997,261.4,0.0,999.9999999999997
2026-06-10T11:00:05Z,ensemble_divergence,756.2299999999998,243.77,0.0,999.9999999999998
2026-06-10T11:00:05Z,event_arbitrage,1000.0,0.0,0.0,1000.0
2026-06-10T11:00:05Z,intraday_nowcast,1000.0,0.0,0.0,1000.0
2026-06-10T11:00:05Z,longshot_fade,765.1399999999998,234.85999999999999,0.0,999.9999999999998
2026-06-10T14:00:05Z,calibration_overlay,1000.0,0.0,0.0,1000.0
2026-06-10T14:00:05Z,climatology,707.0299999999996,292.97,0.0,999.9999999999997
2026-06-10T14:00:05Z,ensemble_divergence,733.9299999999998,266.07,0.0,999.9999999999998
2026-06-10T14:00:05Z,event_arbitrage,1000.0,0.0,0.0,1000.0
2026-06-10T14:00:05Z,intraday_nowcast,738.5699999999999,261.43,0.0,1000.0
2026-06-10T14:00:05Z,longshot_fade,755.5999999999998,244.4,0.0,999.9999999999998
2026-06-10T17:00:06Z,calibration_overlay,979.2600000000001,20.740000000000002,0.0,1000.0000000000001
2026-06-10T17:00:06Z,climatology,401.84999999999957,599.53,1.3800000000000026,1001.3799999999995
2026-06-10T17:00:06Z,ensemble_divergence,480.45999999999987,524.1999999999999,4.66,1004.6599999999999
2026-06-10T17:00:06Z,event_arbitrage,1000.0,0.0,0.0,1000.0
2026-06-10T17:00:06Z,intraday_nowcast,652.65,343.31,-4.040000000000003,995.96
